target,발음1,발음2,발음3,발음4,발음5,발음6,발음7,발음8,발음9,발음10,발음11,발음12,발음13,발음14,발음15,발음16,발음17,발음18,발음19,발음20,발음21,발음22,발음23,발음24,발음25,발음26,발음27,발음28,발음29,발음30,발음31,발음32,발음33,발음34,발음35,발음36,발음37,발음38,발음39,발음40,발음41,발음42,발음43,발음44,발음45,발음46,발음47,발음48,발음49,발음50,발음51,발음52,발음53,발음54,발음55,발음56,발음57,발음58,발음59,발음60,발음61,발음62,발음63,발음64,발음65,발음66,발음67,발음68,발음69,발음70,발음71,발음72,발음73,발음74,발음75,발음76,발음77,발음78,발음79,발음80,length,initial
multiple partition,멀터펄 파티션,멀터펄 파티셤,멀터펄 빠티션,멀터펄 파티션,멀터펄 파치션,멀터펄 하티션,멀터펄 타티션,맬터펄 파티션,멀터펄 파트셤,멀터펄 파티셜,믈터펄 파티션,멀트컬 파티션,멀터펄 마티션,멀터팰 파디션,벌터펄 파티쪈,멀퍼펄 파티셤,멀터펄 파트션,멀써펄 파티션,멀터벌 파티션,믈터펄 파티션,멀터펄 파티셜,믈터펄 파티션,믈터펄 파티션,멀터펄 파티셤,멀터팰 파디션,믈터펄 파티션,멀터펄 파티셤,믈터펄 파티션,믈터펄 파티션,멀퍼펄 파티셤,멀터펄 파티셤,멀터펄 하티션,멀터펄 하티션,벌터펄 파티쪈,멀터펄 하티션,믈터펄 파티션,멀터펄 파티셤,믈터펄 파티션,멀터펄 파치션,믈터펄 파티션,멀터펄 마티션,믈터펄 파티션,멀터팰 파디션,믈터펄 파티션,믈터펄 파티션,벌터펄 파티쪈,멀터펄 타티션,멀터펄 하티션,믈터펄 파티션,믈터펄 파티션,멀터펄 파티션,멀터펄 하티션,멀터펄 하티션,멀터펄 하티션,믈터펄 파티션,믈터펄 파티션,멀터펄 파트셤,믈터펄 파티션,멀터펄 하티션,멀터팰 파디션,믈터펄 파티션,믈터펄 파티션,믈터펄 파티션,믈터펄 파티션,멀터펄 빠티션,믈터펄 파티션,멀퍼펄 파티셤,멀써펄 파티션,멀터펄 파트셤,멀터펄 하티션,믈터펄 파티션,믈터펄 파티션,멀터펄 파티셜,멀터펄 파트션,믈터펄 파티션,믈터펄 파티션,멀터펄 타티션,멀터펄 하티션,믈터펄 파티션,멀터벌 파티션,7,ㅁ
need,니드,느드,리드,네뒤,네브,미드,내드,니르,니쓰,미쓰,니스,뉘두,누브,내더,니더,니느,니브,니뜨,니드,니드,뉘두,니느,니르,니더,니더,니르,리드,니드,니느,니더,니더,니느,니드,니드,니르,니쓰,니뜨,니더,내드,니드,니드,니더,니더,니더,미드,니브,니드,미드,니드,니브,니쓰,니드,니쓰,미드,니더,니스,니더,니쓰,니더,니느,내드,니드,니쓰,니더,뉘두,리드,니더,니더,니뜨,니더,니더,니더,니더,니스,니더,니뜨,니스,니드,내드,니더,2,ㄴ
new,누,느,노,누,뉘,무,루,노,무,무,느,무,무,느,뉘,누,느,무,무,무,무,느,무,무,노,노,뉘,루,노,뉘,느,무,무,무,루,무,루,무,무,무,누,뉘,무,루,루,느,느,무,뉘,무,뉘,뉘,무,무,누,뉘,노,무,루,뉘,무,무,루,누,무,무,노,느,무,뉘,무,무,노,무,느,무,무,뉘,느,무,1,ㄴ
number,넘버,넘브,늠배,널버,넌버,널브,늠버,멈버,멈배,럼버,넘버,럼브,냄버,냄뻐,넘더,멈배,넘더,널버,늠버,럼브,멈배,럼브,늠버,널버,냄뻐,넘버,냄뻐,럼브,넘브,럼브,늠버,널버,널브,멈배,냄버,럼브,냄뻐,냄버,멈배,멈배,냄뻐,럼브,널버,멈배,널버,늠버,널버,멈배,냄버,냄뻐,늠버,멈배,널버,늠버,럼브,럼브,넘버,럼브,넘더,넘버,늠버,멈배,냄뻐,럼브,멈배,넘버,넘버,넌버,럼브,널버,넘더,늠버,럼브,널버,널버,럼브,늠버,늠버,넘더,냄뻐,2,ㄴ
observation,아브저베이션,아브재배이션,아브저페에션,아브저베이텬,아브저베애션,아브쩌베이션,아뷔저베이션,하브저베이션,아브저데이션,아브써베이션,아브저배이션,카브저베이션,아브즈베으션,가브저베이션,아브저베이션,아브즈보이션,아버저베이션,아드저베이션,아브즈베이션,아브재베이션,아브저베키션,아브저베이젼,아브저베애션,아브즈베이션,아브즈베이션,아뷔저베이션,아브저배이션,아브저데이션,아브저배이션,아브저데이션,아브저베이젼,아브즈보이션,아브즈보이션,아브즈보이션,아브저베이젼,아브저베이텬,아버저베이션,아브재베이션,아브쩌베이션,가브저베이션,아브써베이션,아브즈보이션,아브저페에션,아브즈보이션,아브저배이션,아뷔저베이션,아브저배이션,아브저배이션,아브저베이텬,아브써베이션,아브즈보이션,아버저베이션,아브저배이션,아브즈베이션,아브즈보이션,아브쩌베이션,아브저데이션,아브즈베이션,아브저베이젼,아브저배이션,아브즈베이션,아브쩌베이션,아브저베이젼,아브저베이션,아브저데이션,아브즈베이션,아브즈보이션,아브저배이션,아버저베이션,하브저베이션,아브저데이션,아버저베이션,아브저배이션,아브즈베으션,아브즈베이션,아브쩌베이션,아브저배이션,아브저베이젼,아버저베이션,아브저베이젼,6,ㅇ
offset,오프섿,꼬프섿,고프섿,오퍼섿,오프섿,오프셌,우프섿,오피셉,오프샏,호프섿,오피섿,오프셑,오프센,오크섿,오쁘섿,오프텓,오프솓,오프젣,오트섿,오프뗃,고퍼섿,오퍼싣,코프섿,오브샏,오프첻,에프섿,오피섿,에프섿,오피셉,오피셉,오쁘섿,오프셑,오프섿,오피셉,오퍼싣,호프섿,오브샏,오프셌,오트섿,오피섿,우프섿,오피셉,오프솓,오피섿,오피섿,오프뗃,오쁘섿,우프섿,오프뗃,우프섿,호프섿,우프섿,오트섿,호프섿,오브샏,오쁘섿,호프섿,오프섿,우프섿,오프텓,오프센,에프섿,오프셑,오프샏,우프섿,오프뗃,고퍼섿,오피셉,오피셉,오브샏,코프섿,오프솓,호프섿,오피셉,에프섿,오피셉,오프텓,오프센,오피셉,호프섿,3,ㅇ
operating,아퍼레이팅,아퍼레이핑,아퍼레끼딩,가퍼레이텡,아터레이팅,아퍼레이팅,아퍼레이킹,아퍼레이씽,아퍼레에튕,아퍼레기틱,아퍼레이튕,아퍼뢰이팅,아패레이텡,가퍼레이틲,아퍼레이팈,아퍼네이틲,아퍼레이칭,아퍼레기팅,아퍼레이틱,아퍼레우틍,아패레이팅,가퍼레이틲,아퍼레이튕,아퍼레에튕,아퍼레이팈,아퍼레이팅,아터레이팅,아퍼레이팅,아패레이팅,아퍼레이팅,가퍼레이텡,아터레이팅,아퍼레이팈,아퍼레이팅,아퍼레이팅,가퍼레이텡,가퍼레이텡,아퍼레이팅,아퍼레이팈,아퍼레이킹,가퍼레이텡,가퍼레이텡,아퍼레이튕,아퍼레이팈,아퍼레이튕,아퍼레이핑,가퍼레이텡,아패레이텡,아퍼레이튕,아퍼레우틍,아퍼레이칭,아퍼레에튕,가퍼레이틲,아퍼레끼딩,아퍼레이팈,아퍼레우틍,아퍼레이팅,아퍼레이킹,아퍼레끼딩,아퍼레끼딩,아퍼레우틍,아퍼레이틱,아퍼레에튕,아퍼레이핑,아퍼레이킹,아퍼레이팈,가퍼레이텡,아퍼레에튕,아퍼레이팈,아퍼레이튕,가퍼레이텡,아퍼레이팅,아퍼레이팅,아퍼레우틍,가퍼레이틲,아퍼레이튕,아퍼레이팈,아퍼레이킹,아퍼레이팈,아퍼레이킹,5,ㅇ
outer,아우터,아후트,아우트,아우터,아우퍼,아꾸트,아위터,하우터,아우처,아오터,카우터,아우서,아후터,아우태,까우태,아우커,아쿠처,아쿠트,아이터,아오처,아쿠태,아위터,하우터,아오처,하우터,아쿠처,아쿠처,아쿠처,아쿠처,아후터,아쿠처,아쿠처,아우터,아우터,하우터,아쿠트,아후트,아쿠처,아쿠처,아우커,아쿠처,하우터,아쿠처,아우트,아오처,아후트,아우커,하우터,아후트,하우터,아오처,아후트,아오처,아쿠처,아우퍼,하우터,아우터,아우퍼,아후트,아후트,아우퍼,하우터,아우커,아후트,아우커,아오터,아쿠처,아우태,하우터,아우커,아우커,아쿠처,아우커,아후터,아오처,하우터,아쿠트,아쿠처,아후트,아쿠처,3,ㅇ
overhead,오버헤드,오버호두,오버헤르,꼬버헤드,에버헤드,오배헤느,코버헤르,오버에드,오배헤드,호버헤드,우버헤드,오버헤두,오버해쓰,오버케브,오버헤디,오버헤스,오버헤드,오배케드,오버해드,오버히드,오버헤뜨,오버회드,코버헤드,오브헤드,호버헤브,오버에드,코버헤드,오버호두,오버헤두,오버에드,오버호두,오버해쓰,코버헤드,코버헤드,오배헤드,코버헤드,오배헤드,오버에드,오배헤드,오브헤드,오버헤두,코버헤드,오버호두,오배케드,오브헤드,오버헤두,호버헤드,오브헤드,오버히드,오버헤두,오배케드,코버헤드,코버헤드,오버히드,오배헤드,오배헤느,오버히드,오버해드,오배케드,오버해드,오버호두,오버헤두,오버헤드,오버에드,코버헤르,코버헤드,오버호두,오배케드,오배케드,오버헤스,오버호두,오버케브,오버헤드,오버해드,오버헤드,우버헤드,오버호두,오버케브,코버헤드,코버헤드,4,ㅇ
overlap,오벌랩,우밸랩,오벌립,꼬블랩,오벌냅,고번랩,우범랩,우벌랟,고벌랩,오뻘랩,오범랩,오번램,오밸랩,우벌럽,오덜랩,오벌맵,오벌럽,오벌랟,오멀랩,오펄랩,오벌렙,오벌랩,코벌랩,호벌랩,오번램,오벌럽,코벌랩,오벌랟,오번램,오벌렙,오펄랩,오번램,고벌랩,코벌랩,오밸랩,오뻘랩,오펄랩,오벌랩,오번램,오번램,오벌맵,오벌맵,오벌맵,오멀랩,오번램,우벌랟,우벌랟,오펄랩,오번램,오번램,오펄랩,오멀랩,고벌랩,오펄랩,오펄랩,오멀랩,오펄랩,오번램,오벌럽,오벌맵,오벌럽,오펄랩,오펄랩,오벌럽,오번램,오벌냅,오벌럽,오벌랟,오번램,우벌랟,오멀랩,오벌럽,우벌랟,오번램,오벌럽,오펄랩,오멀랩,우벌랟,오번램,오펄랩,3,ㅇ
pae,파이,빠우,타애,하이,파기,하끼,파이,파끼,파히,파우,파에,카이,파키,하우,파으,바이,파우,하이,파이,파우,타애,파에,파기,하이,하이,타애,하이,파키,파우,파히,파에,파우,파우,파이,파우,파우,타애,하이,파히,파히,파우,타애,파에,타애,바이,파에,파이,파키,타애,바이,타애,파우,파우,파키,하우,빠우,하끼,파이,파우,파키,타애,빠우,파히,파에,파키,파이,파끼,파우,하이,파우,하이,파키,파키,파키,하이,하이,타애,바이,파키,파히,2,ㅍ
page,페이지,페이치,페이제,페이시,패이지,페키지,페우치,페위지,피이시,페이재,페이찌,케이제,페우지,페이주,페기지,푀이씨,페이즈,헤이찌,페이지,페애쥐,메이치,포이지,메이지,포이지,페이찌,페이지,페이재,메이지,페기지,메이지,페이치,페이찌,페이찌,메이지,메이지,페우치,페이찌,페기지,헤이찌,메이지,페이주,푀이씨,푀이씨,푀이씨,페이치,페이주,페기지,페우치,푀이씨,페우지,페이지,메이지,페이주,푀이씨,페기지,페이찌,페이치,페이치,포이지,페위지,페이찌,푀이씨,페우치,패이지,페기지,푀이씨,패이지,포이지,페우치,푀이씨,페기지,페우지,페기지,메이지,푀이씨,페이주,페기지,페이찌,메이지,메이치,3,ㅍ
page directory,페이지 더렉터리,페이지 대렉터래,페이지 더렉터리,페이재 더렉터리,포이지 더렉써리,페이지 더렉떠리,페이재 더렉터르,뻬이지 더렊터리,페이지 더렉터르,페이제 더렣터리,헤이지 더렉터리,페이지 더랙처리,페이지 더렊터리,페이씨 더릭터리,피이지 더렉터리,페히지 더렉터리,페이지 더렉터레,페이시 더렉터리,페이지 터렉터르,페이지 더렉터레,페이재 더렉터르,페이씨 더릭터리,페이재 더렉터리,페이지 더렉터레,페이재 더렉터리,페이재 더렉터리,페이지 더렉터르,페이재 더렉터리,헤이지 더렉터리,페이재 더렉터리,페이재 더렉터르,헤이지 더렉터리,페이시 더렉터리,페이지 더렉터레,페이지 더렉터레,페이지 더렉터르,페이지 더렉터레,헤이지 더렉터리,페이지 더렉터레,뻬이지 더렊터리,페이지 더렉터레,페이지 더렉터르,페이재 더렉터리,헤이지 더렉터리,페이시 더렉터리,헤이지 더렉터리,포이지 더렉써리,페이지 더렉터르,페이지 더렉터르,페이재 더렉터리,페이재 더렉터리,페이지 더렉터레,페이시 더렉터리,페이재 더렉터리,페이지 더렉떠리,페이지 더렉터레,페이시 더렉터리,페이씨 더릭터리,페이지 더렉터르,페이씨 더릭터리,페이재 더렉터리,페이지 더렉터르,페이지 더렉터레,페이재 더렉터르,페이지 더렉터레,헤이지 더렉터리,헤이지 더렉터리,페이지 더렉터르,뻬이지 더렊터리,페이재 더렉터르,헤이지 더렉터리,페이지 더렉터레,페이지 더렉터리,페이시 더렉터리,페이재 더렉터리,페이지 더렉터레,페이지 더렉터르,페이제 더렣터리,헤이지 더렉터리,페이제 더렣터리,8,ㅍ
page table,페이지 테이벌,페끼지 테이벌,페이지 테이범,푀이지 테이벌,페이지 케이블,페이지 테이밸,페이찌 테이벌,페이지 테이블,페이지 테위벌,페이지 케이벌,푀이씨 테이벌,페이지 체이벌,페이지 테이번,패이지 테이벌,페이지 테이벌,페이지 테이멀,포이지 테이덜,푀이씨 테이벌,페이찌 테이벌,페이찌 테이벌,페끼지 테이벌,푀이지 테이벌,페이찌 테이벌,페이지 테이벌,페이지 테이번,패이지 테이벌,페이지 케이벌,페이지 테이블,페이찌 테이벌,포이지 테이덜,페이지 테이블,페이지 케이블,페끼지 테이벌,패이지 테이벌,페이지 테위벌,페이찌 테이벌,페끼지 테이벌,페이지 테이블,패이지 테이벌,페이지 케이벌,페끼지 테이벌,페이지 테이블,페이지 케이벌,페이지 체이벌,페이지 테이블,페이지 케이벌,페이지 테이블,페이찌 테이벌,페이지 테이범,패이지 테이벌,푀이씨 테이벌,푀이씨 테이벌,페이찌 테이벌,페이찌 테이벌,페끼지 테이벌,포이지 테이덜,페이지 테이번,페이찌 테이벌,페이지 케이블,푀이지 테이벌,페이지 테이블,포이지 테이덜,페이지 케이벌,페이지 테이블,포이지 테이덜,포이지 테이덜,푀이씨 테이벌,페이지 케이블,패이지 테이벌,페이지 테이범,페이찌 테이벌,패이지 테이벌,페이찌 테이벌,페끼지 테이벌,페이지 체이벌,포이지 테이덜,페이찌 테이벌,페이지 테이벌,포이지 테이덜,포이지 테이덜,7,ㅍ
paged out,페이지드 아우트,페이지드 아우트,포이지드 아우트,페이제드 아우트,페이지드 아구트,페애지드 아우트,페이지드 하우트,페에시드 아우트,페이지드 아우튀,페이찌드 아우트,페이지드 아오트,페이주드 아우크,피이지드 아우트,페이지드 아꾸터,페이지더 아우트,푀이지드 아오트,케이지드 아우투,페이지드 아후트,페이쥐드 아우트,페이지드 카우트,페이지더 아우트,페이주드 아우크,페이지드 하우트,페이지드 카우트,페이지더 아우트,페이주드 아우크,페이지더 아우트,케이지드 아우투,페이지드 아후트,페이쥐드 아우트,페이지드 아우트,페이지더 아우트,페이지드 아우트,페이찌드 아우트,페에시드 아우트,페이주드 아우크,페이주드 아우크,페이지드 카우트,페이지더 아우트,페이지더 아우트,페이지더 아우트,케이지드 아우투,케이지드 아우투,페이쥐드 아우트,페이지더 아우트,페이지더 아우트,포이지드 아우트,페이주드 아우크,페이쥐드 아우트,피이지드 아우트,페이지드 카우트,페이지더 아우트,페에시드 아우트,페이찌드 아우트,페이지더 아우트,페이지더 아우트,페이지드 아후트,페이지더 아우트,페에시드 아우트,페이지더 아우트,페이제드 아우트,페이지더 아우트,피이지드 아우트,페이주드 아우크,케이지드 아우투,페이지더 아우트,페이지더 아우트,페이지더 아우트,케이지드 아우투,페이주드 아우크,페이지더 아우트,페이쥐드 아우트,페이지드 카우트,페이쥐드 아우트,페이주드 아우크,페이지더 아우트,페이지더 아우트,페이지드 하우트,페이쥐드 아우트,페이주드 아우크,8,ㅍ
paging,페이징,페애징,페이싱,베이찡,페끼쟁,페이칭,포이징,푀이짘,페이징,푀키징,피이징,페이중,페끼징,페이직,페이짂,푀이징,포애징,페끼칭,헤이징,페이씽,페히징,페이증,페에징,페키짂,페이중,베이찡,포이징,피이징,피이징,푀이짘,페애징,페히징,페이징,페에징,페히징,페히징,페애징,페에징,피이징,페애징,페애징,페이짂,페이중,페이칭,피이징,페이직,페에징,포이징,베이찡,피이징,페에징,페에징,푀이짘,푀이짘,페에징,포이징,페에징,피이징,푀이징,푀이징,페이중,베이찡,페히징,페이칭,페이짂,베이찡,페이징,페에징,페애징,포애징,페이짂,페에징,피이징,페이칭,피이징,푀이짘,페에징,피이징,피이징,베이찡,3,ㅍ
pair,페어,패어,뻬애,푀어,케어,페허,페어,페애,피애,뻬어,포허,푀애,테어,헤어,케꺼,베으,페커,헤애,패으,포애,헤어,헤애,뻬어,뻬애,피애,푀애,뻬어,포애,페어,뻬애,포애,포애,헤애,피애,케꺼,헤어,케꺼,뻬애,피애,피애,헤애,뻬애,피애,피애,테어,포애,포허,뻬애,포애,뻬애,뻬애,피애,포애,페허,뻬어,포애,푀애,페어,뻬애,포애,뻬어,포허,뻬애,뻬애,피애,뻬애,포애,뻬애,페허,헤애,포애,페애,포애,케꺼,페애,헤애,페커,포애,포애,뻬어,2,ㅍ
parallel,페럴렐,푀럴렐,패럴렐,케럴넬,패를렐,피럴랠,테럴랠,페럴멜,헤럴렐,페럼렐,뻬럴렌,뻬널렐,포럴렐,피럴렘,페럴릴,페럴렘,페럴렐,페럴뢸,페를렐,페럴렌,포럴렐,포럴렐,페럴멜,페럴릴,푀럴렐,페럴뢸,패를렐,패를렐,푀럴렐,페럴릴,페럴렐,케럴넬,페럴렐,페럼렐,패럴렐,페럴릴,패럴렐,푀럴렐,케럴넬,페럴멜,페럴릴,페럴릴,페럴릴,푀럴렐,패를렐,패를렐,페럴릴,푀럴렐,패럴렐,포럴렐,푀럴렐,푀럴렐,패럴렐,페럴릴,패럴렐,페럴뢸,패럴렐,페를렐,푀럴렐,패를렐,페럴멜,패럴렐,포럴렐,패를렐,패를렐,페럴멜,페럼렐,페럴릴,푀럴렐,푀럴렐,페럼렐,푀럴렐,뻬널렐,페럴뢸,페럴릴,포럴렐,피럴렘,페럴릴,패를렐,페럴릴,3,ㅍ
part,파트,마트,빠티,카투,하프,빠스,파크,파터,파츠,파티,파트,카트,파튀,파티,파티,빠티,파티,파츠,빠스,파티,파티,파트,파츠,빠티,파트,파티,파티,파트,빠티,파츠,파츠,파츠,파츠,파티,마트,빠티,마트,파티,빠스,파티,하프,파츠,빠스,빠스,카트,카트,파츠,파티,파츠,파츠,빠티,빠스,빠티,카트,파티,파티,파터,파티,카트,카트,마트,파츠,파티,카트,파츠,카트,파츠,파티,빠스,파츠,파트,파티,빠스,파티,파츠,파츠,파티,카트,빠티,파티,2,ㅍ
partition,파티션,파튀션,파티셜,파피셜,파티뗜,타티쳔,파투션,파테션,파태션,파티쎤,파티션,파투젼,파티젼,파키션,파튀쎤,파트젼,파키션,파태션,파티셜,파태션,파티뗜,파투젼,파티션,파키션,파티션,파키션,파티셜,파티션,파키션,파태션,파키션,파투젼,파태션,파티젼,파티쎤,파태션,파키션,파키션,파키션,파티션,파티셜,타티쳔,파테션,파티쎤,파티젼,파티쎤,파태션,파티쎤,파투젼,파키션,파키션,파키션,파태션,파투젼,파키션,파키션,파태션,파키션,파튀쎤,파키션,파태션,파키션,파태션,파태션,파티쎤,파튀션,파키션,파키션,파투젼,파티쎤,파키션,파트젼,파태션,파티쎤,파태션,파티쎤,파티쎤,파키션,파티션,파튀션,3,ㅍ
pentium,펜티엄,폰티엄,펜튀음,펜테험,펜치엄,펜피엄,펜피컴,펜티앰,펠티음,푄티엄,펜티검,팬티컴,펜태업,펠티험,켄티검,펜트엄,펜테엄,펜티얼,펜디음,펜티엄,뻰티음,팬티앰,펜티엎,펜티음,팬투엄,펜티엎,뻰티음,펠티음,펜티엄,뻰티음,펠티음,펜트엄,뻰티음,폰티엄,펠티험,펜디음,펠티험,펜트엄,펜티엄,펜티음,푄티엄,펜트엄,펜티엄,펜티얼,켄티검,팬티컴,펜테험,뻰티음,켄티검,펜티엄,펜피컴,뻰티음,펜티앰,뻰티음,펠티험,펜티엄,뻰티음,펜테엄,뻰티음,펜디음,뻰티음,팬티앰,펜티엎,켄티검,펜티엄,펜티검,폰티엄,팬티앰,펜티얼,펜테엄,뻰티음,뻰티음,뻰티음,펜티검,팬티앰,폰티엄,뻰티음,펠티음,뻰티음,펜티얼,3,ㅍ
performance,퍼포먼스,허포믄스,퍼포맨스,퍼코먼스,패포먼스,허포맨스,퍼보먼스,퍼푸먼스,퍼포먼스,퍼포맨트,퍼포믄스,퍼포번스,허포먼서,퍼호뻔스,퍼토먼스,퍼포넌스,프포먼스,퍼포런스,퍼페먼스,퍼페먼스,퍼페먼스,퍼포맨스,퍼포먼스,퍼포먼스,퍼푸먼스,퍼푸먼스,허포먼서,퍼포런스,퍼호뻔스,퍼호뻔스,허포믄스,퍼호뻔스,허포먼서,허포먼서,퍼포먼스,퍼포맨스,퍼호뻔스,퍼푸먼스,퍼푸먼스,허포먼서,허포먼서,퍼보먼스,허포맨스,퍼호뻔스,허포맨스,허포먼서,허포맨스,퍼보먼스,허포맨스,퍼호뻔스,퍼포맨스,퍼포먼스,퍼푸먼스,퍼포맨스,퍼보먼스,허포먼서,퍼호뻔스,퍼호뻔스,허포먼서,퍼호뻔스,퍼호뻔스,퍼보먼스,퍼보먼스,퍼페먼스,퍼호뻔스,허포먼서,퍼포맨스,허포믄스,퍼푸먼스,퍼포먼스,퍼보먼스,퍼포맨트,퍼포맨트,퍼호뻔스,퍼호뻔스,퍼호뻔스,퍼보먼스,허포먼서,퍼토먼스,퍼포런스,4,ㅍ
physical,피지컬,피지컴,피지펄,히지털,피지컬,페지털,페지컬,피치컨,푸지캘,티지캘,피지컨,퓌지컬,피치컬,히지컬,피치클,피찌털,피지클,페지캘,프지컬,피찌컬,피찌클,피지캘,피지컴,히지털,피찌클,티지캘,티지캘,티지캘,티지캘,피찌컬,페지털,피지컴,피지컬,페지털,푸지캘,피지컴,피지클,티지캘,푸지캘,피찌클,피찌털,히지털,피지클,푸지캘,피찌클,피찌클,히지털,피지컴,피지클,티지캘,페지캘,피지캘,피찌클,프지컬,페지컬,티지캘,피지컴,히지털,피지펄,티지캘,히지컬,피치컨,티지캘,푸지캘,히지털,피지클,피지컬,티지캘,페지털,페지캘,피찌클,피지컴,퓌지컬,페지털,티지캘,페지컬,피지캘,피치컬,페지컬,프지컬,3,ㅍ
pid,피아이디,패아이디,피아이디,히아이디,퓌아이디,피아끼디,피아이리,히가이디,키아끼디,피아키디,피까히디,페아이티,피아애디,피아이두,피카끼디,푸까이디,피아히디,피아으디,피아이비,히아이디,피아키디,피까히디,히아이디,퓌아이디,퓌아이디,피까히디,피까히디,피아키디,피아히디,피아으디,피아이디,피아이디,히아이디,피아으디,퓌아이디,피아키디,히아이디,키아끼디,패아이디,피아애디,키아끼디,페아이티,피까히디,피까히디,히아이디,피까히디,패아이디,히가이디,히아이디,키아끼디,푸까이디,피아이두,피아이두,히아이디,히아이디,패아이디,패아이디,피아키디,히아이디,히아이디,피아이비,피아끼디,패아이디,페아이티,히아이디,피아히디,페아이티,피아으디,피아히디,피아이비,피까히디,피까히디,피까히디,피까히디,피아애디,히아이디,피아애디,피까히디,피까히디,피까히디,4,ㅍ
pn,피엔,피헨,피엘,패헨,미엔,히엔,미겐,티겐,피겐,히엘,퓌엔,미온,히겐,피엔,퓌왼,피엠,피켄,프엔,비엔,미켄,피왼,키왼,패겐,미엔,퓌왼,프엔,히엔,피엔,티겐,퓌왼,피엔,퓌왼,퓌왼,비엔,미온,피헨,미엔,키왼,비엔,퓌왼,퓌왼,퓌왼,미엔,피헨,패헨,티겐,비엔,피엔,퓌왼,퓌왼,히엘,프엔,피왼,티겐,티겐,퓌왼,퓌왼,퓌왼,퓌왼,히엘,퓌왼,피헨,미온,퓌왼,퓌왼,히엔,티겐,히겐,히엔,패겐,퓌왼,퓌왼,히겐,피엠,퓌왼,티겐,미엔,피헨,피엔,히엘,2,ㅍ
pointer,포인터,포인터,포은터,푀인터,포임처,호인터,호운터,포긴터,푀앤터,포앤태,푸인터,포인커,호인퍼,코인터,포인처,포낀터,포킨처,포앤커,포힌터,포인태,토인터,호인태,포인트,포앤커,호인퍼,호인퍼,포앤태,토인터,포낀터,포인처,호운터,푸인터,포킨처,토인터,포낀터,푀인터,포킨처,포낀터,코인터,포앤태,포낀터,포킨처,포낀터,푀인터,포앤태,토인터,포킨처,포은터,포인처,포앤커,포앤커,포인트,포임처,토인터,토인터,포인트,포앤커,포앤커,포긴터,포앤커,포임처,포앤커,포인트,토인터,호인터,포인트,포임처,포인트,포낀터,포인트,포임처,포임처,푸인터,포인터,토인터,호인태,토인터,푀인터,포인커,포앤태,3,ㅍ
policy,팔러시,팔러새,팔러쉬,팔래시,팔러디,팔러치,팔르씨,팔러씨,팜러시,팔러스,빨러씨,팔러티,팔러시,팔머시,할르시,발르시,팔르시,판러시,팔르디,팔래시,팔러쉬,할르시,팔래시,팔르씨,팔르디,팔르씨,팔러치,빨러씨,팔러쉬,팔래시,팜러시,팔러쉬,팔르디,빨러씨,팔머시,팔르시,팔르시,빨러씨,판러시,팔러디,팔르디,팔러디,할르시,팔르씨,팔러새,팔르시,할르시,팜러시,팔머시,팔르씨,팔르디,할르시,팔머시,팔르씨,팔러새,팔르시,빨러씨,팔래시,팔르디,팔러디,팔머시,팔러디,팔머시,팔러티,팔러새,팔래시,판러시,팔러새,팔러쉬,팔르씨,팔르디,팔러디,팔러디,팔르씨,팔르디,팔르디,팔러쉬,팔래시,팔르씨,팔르씨,3,ㅍ
portion,포션,포션,보셜,페션,푀션,포셤,포텬,포젼,호뗜,모션,푸쳔,포셜,포쎤,푸션,코션,코션,페션,모션,코션,코션,코션,모션,포텬,포션,코션,푀션,푀션,모션,푸션,포젼,모션,푸쳔,푀션,포션,포텬,호뗜,코션,코션,포션,포셜,푀션,포션,모션,포션,포션,코션,푀션,푸쳔,모션,페션,포션,푀션,푀션,포션,코션,포텬,모션,포셤,포션,포션,푀션,푸션,보셜,호뗜,포셤,푸쳔,포션,푸쳔,포션,포젼,호뗜,호뗜,포션,포션,모션,포션,코션,코션,포텬,푸쳔,2,ㅍ
possible,파서벌,파서벌,바써벌,파서덜,파서밸,파서블,파스벌,파쩌벌,파스밸,파스번,파서펄,파저벌,파서멀,하서벌,파서번,하서벌,파서블,하서벌,바써벌,파저벌,파서벌,파서블,파스밸,파저벌,바써벌,파쩌벌,파쩌벌,파서번,파스밸,파쩌벌,파쩌벌,파서블,하서벌,파서벌,파서밸,바써벌,파서벌,파서벌,파쩌벌,하서벌,파스번,하서벌,파서블,바써벌,파서블,파스벌,파서벌,파스밸,파서밸,파쩌벌,파서블,파쩌벌,파서블,파서펄,파서벌,파서벌,파스번,바써벌,파서번,파서블,파스밸,파서블,파쩌벌,파서블,파서번,파서번,바써벌,파서밸,하서벌,파서블,파서블,파쩌벌,파스밸,파서블,파서벌,파서블,파스밸,파서밸,파서벌,파서블,3,ㅍ
